Name,Title,aiconalt,View,State,View1,asizebase
SWAPNIL KOLVEKER,German Brand Made in India,1.0 out of 5 stars,"Reviewed in India on February 17, 2020",Verified Purchase,"Hi
Was in search of a high quality Mixer Grinder
Hence as from years of great experience using Bosch Products, Ordered this mixer inspite of all the negative reviews, Day 1 we tried making some juice all the liquid was leaking from the centre cap and the fit of the lid to jar seems to be not tight enough, The quality of Jars and Lids is like from footpath, The fit and finish of motor is good but it wobbles when grinding, As a result the product was returned back in a day. Bottom Line : A half hearted attempt by Bosch, Resulting in a poorly designed and substandard product. Hope Bosch is Listening",10 people found this helpful
shahid,Don't waste your hard earned money. No return policy!!!,1.0 out of 5 stars,"Reviewed in India on July 9, 2022",Verified Purchase,Video Player is loading.,3 people found this helpful
Vivek John,"Heats up really fast , cheap plastic smell comes out",2.0 out of 5 stars,"Reviewed in India on January 13, 2021",Verified Purchase,"Please don’t go by other amazon or YouTube reviews for this product , they are paid reviews . This product disappointed me when it comes to heating up , tried making dosa batter , just 10 seconds is all it took , 2 pulses for 10 secs , it got too hot that I could not even take the dosa batter out coz of the pipping hotness , even my mosambi juice came out to be super hot , I had to drink hot juice .
I can’t believe people are getting paid to write fake stuff on Amazon . This must stop .
Now I regret throwing out my old 500 watts mixer grinder . That was much better quality . I blindly believed the reviews .
Every time I use it I get a cheap plastic smell , from the jars .",5 people found this helpful
000 AAA 000,Not recommended,1.0 out of 5 stars,"Reviewed in India on December 7, 2020",Verified Purchase,"Noise is very high. Not able to grind idli and dosa batter even with 1000 watts power. It's worse than 750 watts Sumeet mixer which I had been using since 2005. Won't recommend anyone for this. It's a review after using the product for more than one month. You can get a better product of much less price and better performance. You can see in the photo that it's not able to mix idli batter and got tripped twice.

It's a bad decision. Don't go with it only by brand. I got fooled by the brand by thinking that it may be a good product and a foreign home appliances brand.
👎",7 people found this helpful
Sandeep Jain,Paid Rs 674 more while buying this product in Prime deal offer on 27.07.2021 & 28.07.2021,1.0 out of 5 stars,"Reviewed in India on July 28, 2021",Verified Purchase,"I ordered this product during the prime deal on 27.07.2021 & received on 28.07.2021. I paid Rs 6399.
After the prime deal is over , i ordered the same for my colleague and now there was offer to use SBI card and applied to my second purchase and costed me Rs 5735.

I contacted Amazon call center and asking them what's the point to buy during prime deal and the reply was that its the policy and accordingly price has been charged.

So basically, i paid Rs 674 more in prime deal for which i was waiting in order to save some more.

If Amazon management may put some consideration towards this and to justify me how its possible to have more better offers in routine days and not in prime deal offer which was being published since long.",3 people found this helpful
Rupesh R.,"Simply don't buy, read my review",1.0 out of 5 stars,"Reviewed in India on May 28, 2022",Verified Purchase,"Makes lot of noise, cleaning of jars and lids very difficult, leaves raw material as it is with out proper grinding, juicer not satisfactory , Bosch company really need to work on the design factor. Company is selling the product in the market with out testing in labs . Quality of Jars is good, but cleaning is nasty.",3 people found this helpful
Amazon Customer,Not good quality,1.0 out of 5 stars,"Reviewed in India on October 9, 2019",Verified Purchase,"I just recieved the product and on unpacking, i find very poor quality of the product, plastic broke off inside one of the jar. And it is very difficult to pack again and again and wait for delivery and recieving on replacement. It is the 2nd time when i ordered bosch mixer from amazon, earlier i ordered different model and i had to return that one because of similar kind of issues, now its 2nd time and now i got tired of it replacement and return.

Not worth

I mean you have to bear trouble unneccesarily because of bad quality and services

Also on 2nd use it starts emitting smoke inside grinder, blades of main machine getting eroded only after 3 ir 5 uses",7 people found this helpful
Murali,"As a whole it is a beast, well built, for it's purpose.",5.0 out of 5 stars,"Reviewed in India on June 8, 2020",Verified Purchase,"I brought this device for 6291/- with 10% instant discount from Citibank. My mom is very satisfied with the performance of this device. It hardly need 2 minutes any spices and vegetables like onion and tomato to fine paste, with no lumps left behind.

Build quality of the jars and the beast is also good, with a pocket to add in the additional add one's like salt, peppers etc while grinding.

The option to keep batter in the middle for the jar thatbshould be used for batter, is also designed very thoughtful.

In my view it's a very good product for the price.",5 people found this helpful
Priya,Poor quality of plastic parts,2.0 out of 5 stars,"Reviewed in India on June 29, 2022",Verified Purchase,"I was very enthusiastic about receiving this after seeing other positive reviews and because of my deep trust in the brand since many years. But this mixer grinder is extremely disappointing. While the steel is good, all the plastic parts are of poor, light weight and cheap quality. The blades have a plastic fix on the top (most brands with steel blades have this as a smooth steel or copper part) that has poor finishing and lot of sharp crevices holding it in place, that will hold up dirt and will be very difficult to clean everytime. I also discovered that this product is not returnable, can only be replaced, but it's too late now. I suggest please buy only if you are sure of keeping it as Amazon doesnot offer support assistance on this.",One person found this helpful
PL,Very powerful,4.0 out of 5 stars,"Reviewed in India on February 10, 2019",Verified Purchase,Very powerful motor.. Very sleek in design.. Good quality jars.. Only drawback is that it is bit noisy..,16 people found this helpful
