Ticker,Short Name,ESG Disc Score:Y,Market Cap,Revenue T12M,P/E,Env Disc Sc:Y,Soc Disc Sc:Y,Gov Disc Sc:Y,Sust Gr Rt LF,Cntry of Dom,GICS SubInd,GICS SubInd Name,GICS Sector,Sustainalytics Soc Pctl:D-1,Sustainalytics Environ Pctl:D-1,Debt/Cap LF,% Women on Bd:Y,CEO Duality:Y,DPS LF,EBITA T12M,Total Return:D-1,NI / Profit T12M,LT Brrwng LF,ST Brrwng LF,Total Return YTD,# of Dir on Bd:D-1,Bd Avg Age:Y,Bd Age Limit:Y,% Indep Directors:Y,CEO Duality:Y,% of Non Exec Dir on Bd:D-1,GHG Scope 1:Y,GHG Scope 2:Y,Wtr Intens/Engy Cons:Y,Haz Waste:Y,Total Waste:Y,Tot Wtr Dschgd:Y,% Emp Union:Y,Tot Sal Pd to Execs:Y,Tot Sal & Bns Pd to Execs:Y
CLD US Equity,CLOUD PEAK ENERG,12.80990028,334381280,901740992,165.4028957,,,55.35710144,0.003336,US,10102050,Coal & Consumable Fuels,Energy,,,29.41322327,14.28569984,0,0,62334000,0,32000,410374016,2555000,-20.67736714,6,63.28570175,72,85.71430206,0,83.33000183,,,,,,,,2331570,2331570
CLR US Equity,CONTL RES INC/OK,20.74690056,19874816000,2607939072,3793.324474,8.264499664,17.1875,51.78570175,-0.580897987,US,10102020,Oil & Gas Exploration & Production,Energy,45.36082458,32.98968887,60.73225403,0,1,0,,0.094488007,-24797000,6612280832,2268000,2.774544586,7,68.83329773,,83.33329773,1,85.70999908,,,,,,,0,2887121,7435022
CMS US Equity,CMS ENERGY CORP,30.94339943,13342553088,6444999936,24.32340509,17.93099976,35.9375,58.92860031,5.569335938,US,55103010,Multi-Utilities,Utilities,96.82539368,79.36508179,69.3216095,33.33330154,0,0.332500011,1249000000,-0.189913808,540000000,9121000448,1210000000,17.01680734,11,61.66669846,75,83.33329773,0,90.91000366,,,,,,,41,3612667,3612667
CNP US Equity,CENTERPOINT ENER,23.01889992,12224110592,9057000064,21.88072444,7.586200237,29.6875,55.35710144,5.35187912,US,55103010,Multi-Utilities,Utilities,34.92063522,2.380952358,70.58297729,20,0,0.267500013,1019000000,0,597000000,7530999808,1150000000,19.58981988,9,62,,80,0,88.88999939,,,,,,,35,3377424,3377424
CNX US Equity,CNX RESOURCES CO,39.66939926,3366421248,2420425984,,37.20930099,28.07019997,57.14289856,,US,10102020,Oil & Gas Exploration & Production,Energy,53.60824585,20.61855698,38.45001221,9.090900421,0,0,,-2.271210064,-201944008,2532312064,10971000,-3.783532396,6,64.45449829,,90.90910339,0,83.33000183,1235.829956,599.0200195,,,,,0,2645296,2645296
CNXM US Equity,CNX MIDSTREAM PA,,1066397632,229977000,9.663322646,,,,8.825450897,US,10102040,Oil & Gas Storage & Transportation,Energy,,,17.62403297,,,0.30250001,132656000,-1.120274982,112820000,157000000,0,-24.71358219,,,,,,,,,,,,,,,
COG US Equity,CABOT OIL & GAS,20.33200073,13227740160,1670218016,76.0276371,4.132199764,17.1875,58.92860031,1.691400051,US,10102020,Oil & Gas Exploration & Production,Energy,19.58762932,43.29896927,36.52179718,16.66670036,1,0.050000001,,0.210229376,-147926000,1284551040,237000000,23.26152042,8,66.16670227,73,83.33329773,1,87.5,,,,,,,0,1730040,1730040
COP US Equity,CONOCOPHILLIPS,58.09130096,65621864448,27796000256,,60.33060074,48.4375,64.28569794,-2.116179943,US,10102020,Oil & Gas Exploration & Production,Energy,84.53607941,63.91752625,40.6141243,18.18180084,1,0.270000011,,-0.525554393,-2469000000,19672999936,1331000064,11.9427663,13,62.09090042,72,90.90910339,1,92.30999756,25300,1500,1888.650146,20.89999962,428.3999939,,,6199028,6199028
CPE US Equity,CALLON PETROLEUM,20.33200073,2452309504,315448000,35.5885432,6.611599922,15.625,55.35710144,6.353506088,US,10102020,Oil & Gas Exploration & Production,Energy,,,24.51070404,0,1,0,,-1.699029482,95854000,595115008,0,-20.9499043,7,67,,87.5,1,100,,,,,,,0,1707986,4386736
CPK US Equity,CHESAPEAKE UTIL,12.07549953,1283855872,579054000,29.36098591,,7.8125,48.21429825,2.165836096,US,55102010,Gas Utilities,Utilities,,,47.31126404,10,0,0.324999988,92364000,-0.317258871,43886000,201248000,215234000,19.34689788,10,63.90000153,,90,0,90,,,,,,,12.94999981,1819058,1819058
CPN US Equity,CALPINE CORP,19.42149925,5455400960,8532999808,,6.201600075,14.03509998,55.35710144,-0.713400006,US,55105010,Independent Power Producers & Energy Traders,Utilities,15.57377052,21.31147575,77.80671692,11.1111002,0,0,898000000,0,-23000000,11281000448,369000000,32.3709511,9,58.77780151,,77.77780151,0,88.88999939,,,,,,,7.75,3721716,3721716
CRC US Equity,CALIFORNIA RESOU,17.84230042,833355328,2041000000,,9.090900421,12.5,42.85710144,,US,10102020,Oil & Gas Exploration & Production,Energy,,,112.5739288,10,0,0,,2.802753522,-205000000,5039000064,100000000,-8.689527017,9,62.90000153,,80,0,88.88999939,,,,,,,5.170000076,2529692,2529692
CRK US Equity,COMSTOCK RES INC,,130517168,230581000,,,,,,US,10102020,Oil & Gas Exploration & Production,Energy,,,143.1439362,12.5,1,0,,6.015037819,-124042000,1089719040,0,-14.11167807,9,65.25,,75,1,77.77999878,,,,,,,,2168511.25,2168511.25
CRR US Equity,CARBO CERAMICS,11.15699959,276256736,157473000,,,,48.21429825,,US,10101020,Oil & Gas Equipment & Services,Energy,,,17.14766121,0,0,0,,-1.260912795,-250927992,86523000,874000,-2.676861682,8,69.125,,87.5,0,87.5,,,,,,,,1891858,1891858
CRT US Equity,CROSS TIMBERS TR,,88121400,,,,,,,US,10102020,Oil & Gas Exploration & Production,Energy,,,,,,,,0.940893102,,,,-12.7254299,,,,,,,,,,,,,,,
CVEO US Equity,CIVEO CORP,,361067072,371849000,,,,,,US,20201070,Diversified Support Services,Industrials,,,38.13936615,,,0,,3.409087522,-74083000,307521984,16671000,24.09090727,,,,,,,,,,,,,,,
CVI US Equity,CVR ENERGY INC,11.98349953,3233588224,5749899904,40.12507543,,,51.78570175,-4.728071213,US,10102030,Oil & Gas Refining & Marketing,Energy,,,41.82268143,0,0,0.5,,-1.481475053,41000000,1164099968,2000000,60.01317511,8,58.25,,37.5,0,87.5,,,,,,,,2410000,2410000
CVRR US Equity,CVR REFINING LP,,2442779904,5416900096,15.42384259,,,,-7.728302002,US,10102030,Oil & Gas Refining & Marketing,Energy,,,27.66185951,,,0.939999998,,2.795023882,107100000,538899968,2000000,70.82106153,,,,,,,,,,,,,,,
CVX US Equity,CHEVRON CORP,51.45230103,2.37783E+11,1.21423E+11,41.49321242,47.93389893,42.1875,69.64289856,-0.184356004,US,10102010,Integrated Oil & Gas,Energy,68.04123688,39.17525864,22.10413742,36.36360168,1,1.080000043,1276000064,-0.310558516,6498999872,34075000832,7896999936,10.62199127,12,62.18180084,72,90.90910339,1,83.33000183,60000,4000,,600,,,,5950018,5950018
CWT US Equity,CALIF WATER SRVC,22.64150047,2177486592,655829008,31.89219449,11.03450012,20.3125,55.35710144,7.626142979,US,55104010,Water Utilities,Utilities,,,52.19292068,20,0,0.180000007,129347000,0.110373594,68602000,519700000,231115008,36.3873583,10,65.40000153,75,90,0,90,,,,,,,63.71450043,2160027,2160027
CXO US Equity,CONCHO RESOURCES,17.42740059,22337118208,2499784000,77.29027928,1.652899981,17.1875,51.78570175,,US,10102020,Oil & Gas Exploration & Production,Energy,22.68041229,30.92783546,24.53440666,0,1,0,2279614016,-0.733496727,563865000,2737999872,68000000,13.28808017,10,63.125,,75,1,80,,,,,,,0,3565000,9142180
CZZ US Equity,COSAN LTD - A,7.851200104,2567501568,3940368726,40.34226875,,,33.92860031,2.928210974,BR,10102030,Oil & Gas Refining & Marketing,Energy,,,58.01986694,0,0,0,,-0.512822469,59734267.4,5961924471,1096702522,30.31744097,12,56.27270126,,36.36360168,0,66.66999817,,,,,,,,,
