Index,Metarea,City,State,Region,Latitude,Longitude,HouseElection,Metcode,ParticipantAvg,Duration(Median),Duration(Mean),Frequency,ImmigrantWorkersFreedomRide,NativityForeign,NativityNative(exclusingbothparentsFB),NativityUnknown,NativityBothParentsFB,UnionUnknown,UnionMember,UnionNotMember,NotHispanic,Hispanic,Unemployed,AtWork,Income_median
95,"South Bend-Mishawaka, IN",South Bend,IN,Midwest,41.6764,-86.252,Republican,7800,3000,1,1,1,0,9,195,1,5,195,0,15,203,7,8,91,30500
42,"Indianapolis, IN",Indianapolis,IN,Midwest,40.26719,-86.134903,Republican,3480,10000,1,1,1,1,48,909,3,12,902,10,60,945,27,31,468,38000
53,"Louisville, KY/IN",Louisville,IN,Midwest,38.328732,-85.764771,Republican,4520,500,1,1,2,1,36,691,7,9,675,8,60,721,22,24,366,26000
31,"Fort Wayne, IN",Fort Wayne,IN,Midwest,41.09384,-85.139236,Republican,2760,1000,1,1,1,0,6,197,1,0,194,1,9,202,2,4,95,32000
106,"Wichita, KS",Wichita,KS,Midwest,37.697948,-97.314835,Republican,9040,4000,1,1,1,1,34,663,1,19,661,7,49,648,69,28,340,29000
45,"Kansas City, MO/KS",Kansas City,KS,Midwest,39.015697,-94.565559,Republican,3760,2000,1,1,2,1,126,1460,13,60,1503,13,143,1480,179,59,818,36000
49,"Lexington-Fayette, KY",Lexington,KY,Southeast,38.0406,-84.5037,Republican,4280,3530,1,1,2,0,19,238,0,0,252,0,5,248,9,10,124,25000
63,"New Orleans-Metairie-Kenner, LA",New Orleans,LA,Southeast,29.951065,-90.071533,Republican,5561,3000,1,1,1,1,40,579,6,11,582,7,47,610,26,10,273,18460
48,"Leominster-Fitchburg-Gardner, MA",Leominster,MA,Northeast,42.5251,-71.7598,Democratic,2601,500,1,1,1,0,7,83,5,5,92,4,4,88,12,2,47,32565
9,"Boston-Cambridge-Quincy, MA-NH",Boston,MA,Northeast,42.3601,-71.0589,Democratic,1124,6333.333333,1,1,3,0,491,2586,20,262,3076,40,243,3107,252,93,1649,32720
82,"Salisbury, MD",Salisbury,MD,Northeast,38.3607,-75.5994,Democratic,7130,200,1,1,1,0,4,91,0,2,89,2,6,93,4,1,49,30000
71,"Portland-South Portland, ME",Portland,ME,Northeast,43.6891,-70.2568,Democratic,6401,150,1,1,1,0,28,711,1,16,699,6,51,743,13,20,399,29000
33,"Grand Rapids-Wyoming, MI",Grand Rapids,MI,Midwest,42.963795,-85.670006,Republican,3001,7000,1,1,1,0,11,250,4,3,246,4,18,250,18,11,127,32700
99,"Toledo, OH/MI",Toledo,MI,Midwest,41.651031,-83.541939,Republican,8400,300,1,1,1,1,10,320,0,8,312,6,20,312,26,17,155,31008
25,"Detroit-Warren-Livonia, MI",Detroit,MI,Midwest,42.33142,-83.04575,Republican,2161,17775,1,1.333333333,3,1,214,2207,41,123,2396,39,150,2474,111,86,1100,30000
